sheet_thickness,blank_holder_force,stamping_speed,friction_coeff,die_gap,crack,wrinkle,springback
1.96,216.6,133.9,0.054,1.3,1.0,1.0,1.0
1.19,103.1,183.3,0.239,1.27,0.0,1.0,0.0
0.99,300.8,199.9,0.244,1.31,1.0,0.0,1.0
1.32,259.1,159.8,0.213,1.58,0.0,1.0,1.0
1.45,203.1,160.6,0.155,0.83,0.0,0.0,0.0
1.68,245.4,208.1,0.142,1.16,0.0,0.0,1.0
1.71,267.9,86.3,0.224,0.9,0.0,1.0,1.0
1.43,360.9,177.4,0.055,0.86,1.0,0.0,1.0
0.86,233.6,121.1,0.211,1.38,1.0,0.0,1.0
1.73,367.8,137.3,0.065,0.91,1.0,1.0,1.0
0.92,378.5,171.0,0.136,1.45,1.0,1.0,1.0
1.53,422.5,193.3,0.248,1.29,1.0,0.0,0.0
1.73,155.0,85.2,0.24,1.6,0.0,,1.0
1.96,353.3,84.3,0.114,1.45,0.0,1.0,1.0
0.89,419.1,104.3,0.214,0.82,1.0,0.0,
1.93,303.6,195.2,0.24,1.6,0.0,1.0,1.0
1.47,152.0,96.3,0.231,1.3,0.0,0.0,0.0
1.52,343.6,97.8,0.176,1.42,0.0,1.0,1.0
1.42,300.8,178.3,0.085,1.46,0.0,,1.0
1.52,183.0,131.8,0.159,1.3,0.0,1.0,0.0
1.94,296.8,207.9,0.205,1.49,0.0,1.0,1.0
1.45,348.0,216.6,0.16,1.09,0.0,0.0,0.0
1.17,351.6,191.8,0.222,1.1,0.0,0.0,0.0
0.97,225.5,218.6,0.189,1.23,1.0,0.0,0.0
0.88,193.5,201.4,0.124,1.55,1.0,1.0,1.0
1.68,180.4,157.6,0.247,1.11,0.0,1.0,1.0
1.51,165.4,130.3,0.2,1.56,0.0,1.0,1.0
1.43,247.6,199.8,0.052,0.92,1.0,0.0,1.0
0.93,404.8,93.7,0.074,1.01,1.0,0.0,1.0
1.17,331.9,213.7,0.213,1.08,0.0,0.0,0.0
1.04,419.2,91.0,0.202,1.48,1.0,1.0,1.0
1.77,222.6,150.2,0.236,0.82,0.0,1.0,1.0
0.82,275.2,121.2,0.07,1.16,1.0,0.0,1.0
0.89,339.3,167.6,0.243,0.92,1.0,0.0,0.0
1.66,357.6,186.1,0.162,1.43,0.0,1.0,1.0
1.0,221.9,193.4,0.133,1.13,1.0,0.0,0.0
1.17,305.6,211.1,0.219,1.27,0.0,0.0,0.0
1.85,366.7,169.9,0.249,1.18,0.0,1.0,1.0
1.94,418.8,213.6,0.179,1.36,1.0,1.0,1.0
0.84,347.3,148.8,0.074,1.17,1.0,0.0,1.0
1.07,417.6,132.4,0.095,0.9,1.0,0.0,0.0
1.76,234.2,83.7,0.065,1.33,1.0,1.0,1.0
1.65,303.2,199.4,0.064,1.51,1.0,1.0,1.0
1.72,218.4,82.2,0.238,1.27,1.0,0.0,0.0
1.62,221.3,178.3,0.2,1.59,0.0,1.0,1.0
1.23,416.1,101.9,0.191,1.4,1.0,0.0,1.0
1.78,339.9,214.8,0.07,1.25,1.0,1.0,1.0
1.86,151.5,138.7,0.125,1.52,0.0,1.0,1.0
1.96,445.7,151.6,0.118,0.84,1.0,1.0,1.0
1.14,227.4,181.7,0.062,1.29,1.0,0.0,1.0
1.13,184.0,154.4,0.208,1.28,0.0,1.0,0.0
1.87,217.9,130.4,0.165,1.24,0.0,1.0,1.0
1.39,221.2,85.7,0.149,1.56,0.0,1.0,1.0
1.35,235.5,202.8,0.197,1.35,0.0,0.0,1.0
0.91,357.3,187.8,0.109,1.48,1.0,1.0,1.0
1.98,222.6,117.9,0.073,1.42,1.0,1.0,1.0
1.23,413.2,169.2,0.149,1.34,1.0,0.0,1.0
0.83,344.9,146.4,0.061,,1.0,0.0,1.0
1.27,252.3,87.2,0.208,1.56,0.0,1.0,1.0
1.15,441.5,93.6,0.106,1.59,1.0,1.0,1.0
0.87,395.4,139.9,0.242,0.84,1.0,0.0,0.0
1.91,202.3,153.1,0.14,1.56,,1.0,1.0
1.67,254.8,177.4,0.19,1.12,0.0,0.0,1.0
1.25,392.2,211.7,0.128,1.3,1.0,0.0,0.0
1.11,259.0,161.0,0.114,1.47,0.0,1.0,1.0
,408.2,215.3,0.231,1.02,1.0,1.0,1.0
1.86,162.2,120.1,0.231,0.85,0.0,1.0,0.0
1.87,343.6,211.6,0.244,0.95,0.0,1.0,1.0
1.18,178.1,104.2,0.199,1.19,0.0,1.0,0.0
1.33,368.5,191.4,0.201,0.92,0.0,0.0,0.0
1.52,152.1,214.9,0.089,1.56,0.0,1.0,1.0
0.94,314.6,129.8,0.205,1.21,1.0,0.0,0.0
0.84,340.1,132.6,0.151,1.58,1.0,1.0,1.0
3.15,198.2,114.7,0.067,1.08,1.0,1.0,1.0
0.81,420.1,83.5,0.174,1.24,1.0,0.0,0.0
1.56,208.6,89.9,0.156,1.52,0.0,1.0,1.0
1.02,432.9,103.7,0.064,1.17,1.0,0.0,1.0
1.04,266.0,110.2,0.116,1.0,1.0,0.0,0.0
1.71,345.6,82.0,0.135,1.12,0.0,1.0,1.0
1.41,260.3,140.7,0.167,1.06,0.0,0.0,0.0
1.24,240.3,152.6,0.225,1.45,0.0,1.0,1.0
0.88,419.6,119.2,0.124,0.81,1.0,0.0,0.0
1.76,316.6,125.2,0.228,1.34,0.0,1.0,1.0
1.74,614.4,183.7,0.211,0.93,0.0,1.0,1.0
0.89,308.9,191.3,0.12,1.22,1.0,0.0,0.0
1.42,89.7,156.0,0.052,1.02,1.0,0.0,1.0
